"Country","Year","Status","Life.expectancy","Adult.Mortality","infant.deaths","Alcohol","percentage.expenditure","Hepatitis.B","Measles","BMI","under.five.deaths","Polio","Total.expenditure","Diphtheria","HIV.AIDS","thinness..1.19.years","thinness.5.9.years","Income.composition.of.resources","Schooling","Population","GDP"
"Afghanistan",2015,"Developing",65,263,62,0.01,71.27962362,65,1154,19.1,83,6,8.16,65,0.1,17.2,17.3,0.479,10.1,33753499,592.4761648
"Afghanistan",2014,"Developing",59.9,271,64,0.01,73.52358168,62,492,18.6,86,58,8.18,62,0.1,17.5,17.5,0.476,10,32716210,628.1468039
"Afghanistan",2013,"Developing",59.9,268,66,0.01,73.21924272,64,430,18.1,89,62,8.13,64,0.1,17.7,17.7,0.47,9.9,31541209,651.9878619
"Afghanistan",2012,"Developing",59.5,272,69,0.01,78.1842153,67,2787,17.6,93,67,8.52,67,0.1,17.9,18,0.463,9.8,30466479,663.1410528
"Afghanistan",2011,"Developing",59.2,275,71,0.01,7.097108703,68,3013,17.2,97,68,7.87,68,0.1,18.2,18.2,0.454,9.5,29249157,621.9124138
"Afghanistan",2010,"Developing",58.8,279,74,0.01,79.67936736,66,1989,16.7,102,66,9.2,66,0.1,18.4,18.4,0.448,9.2,28189672,554.5947346
"Afghanistan",2009,"Developing",58.6,281,77,0.01,56.76221682,63,2861,16.2,106,63,9.42,63,0.1,18.6,18.7,0.434,8.9,27385307,443.8451505
"Afghanistan",2008,"Developing",58.1,287,80,0.03,25.87392536,64,1599,15.7,110,64,8.33,64,0.1,18.8,18.9,0.433,8.7,26427199,387.8492881
"Afghanistan",2007,"Developing",57.5,295,82,0.02,10.91015598,63,1141,15.2,113,63,6.73,63,0.1,19,19.1,0.415,8.4,25903301,375.0782615
"Afghanistan",2006,"Developing",57.3,295,84,0.03,17.17151751,64,1990,14.7,116,58,7.43,58,0.1,19.2,19.3,0.405,8.1,25442944,274.0006557
"Afghanistan",2005,"Developing",57.3,291,85,0.02,1.388647732,66,1296,14.2,118,58,8.7,58,0.1,19.3,19.5,0.396,7.9,24411191,255.0551071
"Afghanistan",2004,"Developing",57,293,87,0.02,15.29606643,67,466,13.8,120,5,8.79,5,0.1,19.5,19.7,0.381,6.8,23553551,221.6576621
"Afghanistan",2003,"Developing",56.7,295,87,0.01,11.08905273,65,798,13.4,122,41,8.82,41,0.1,19.7,19.9,0.373,6.5,22645130,200.4623759
"Afghanistan",2002,"Developing",56.2,3,88,0.01,16.88735091,64,2486,13,122,36,7.76,36,0.1,19.9,2.2,0.341,6.2,21000256,183.5327752
"Afghanistan",2001,"Developing",55.3,316,88,0.01,10.5747282,63,8762,12.6,122,35,7.8,33,0.1,2.1,2.4,0.34,5.9,19688632,166.6031745
"Afghanistan",2000,"Developing",54.8,321,88,0.01,10.42496,62,6532,12.2,122,24,8.2,24,0.1,2.3,2.5,0.338,5.5,19542982,149.6735738
"Albania",2015,"Developing",77.8,74,0,4.6,364.9752287,99,0,58,0,99,6,99,0.1,1.2,1.3,0.762,14.2,2880703,3952.803584
"Albania",2014,"Developing",77.5,8,0,4.51,428.7490668,98,0,57.2,1,98,5.88,98,0.1,1.2,1.3,0.761,14.2,2889104,4578.633208
"Albania",2013,"Developing",77.2,84,0,4.76,430.8769785,99,0,56.5,1,99,5.66,99,0.1,1.3,1.4,0.759,14.2,2895092,4413.063397
"Albania",2012,"Developing",76.9,86,0,5.14,412.4433563,99,9,55.8,1,99,5.59,99,0.1,1.3,1.4,0.752,14.2,2900401,4247.631356
"Albania",2011,"Developing",76.6,88,0,5.37,437.0621,99,28,55.1,1,99,5.71,99,0.1,1.4,1.5,0.738,13.3,2905195,4437.141146
"Albania",2010,"Developing",76.2,91,1,5.28,41.82275719,99,10,54.3,1,99,5.34,99,0.1,1.4,1.5,0.725,12.5,2913021,4094.349699
"Albania",2009,"Developing",76.1,91,1,5.79,348.0559517,98,0,53.5,1,98,5.79,98,0.1,1.5,1.6,0.721,12.2,2927519,4114.134041
"Albania",2008,"Developing",75.3,1,1,5.61,36.62206845,99,0,52.6,1,99,5.87,99,0.1,1.6,1.6,0.713,12,2947314,4370.539711
"Albania",2007,"Developing",75.9,9,1,5.58,32.24655228,98,22,51.7,1,99,6.1,98,0.1,1.6,1.7,0.703,11.6,2970017,3595.038302
"Albania",2006,"Developing",74.2,99,1,5.31,3.3021542,98,68,5.8,1,97,5.86,97,0.1,1.7,1.8,0.696,11.4,2992547,2972.743618
"Albania",2005,"Developing",73.5,15,1,5.16,26.99312143,98,6,49.9,1,97,6.12,98,0.1,1.8,1.8,0.685,10.8,3011487,2673.787803
"Albania",2004,"Developing",73,17,1,4.54,221.8428,99,7,48.9,1,98,6.38,97,0.1,1.8,1.9,0.681,10.9,3026939,2373.581292
"Albania",2003,"Developing",72.8,18,1,4.29,14.71928882,97,8,47.9,1,97,6.27,97,0.1,1.9,2,0.674,10.7,3039616,1846.120121
"Albania",2002,"Developing",73.3,15,1,3.73,104.5169157,96,16,46.9,1,98,6.3,98,0.1,2,2.1,0.67,10.7,3051010,1425.124219
"Albania",2001,"Developing",73.6,14,1,4.25,96.20557078,96,18,46,1,97,6,97,0.1,2.1,2.1,0.662,10.6,3060173,1281.659826
"Albania",2000,"Developing",72.6,11,1,3.66,91.71154052,96,662,45,1,97,6.26,97,0.1,2.1,2.2,0.656,10.7,3089027,1126.68334
"Algeria",2015,"Developing",75.6,19,21,0.45,0,95,63,59.5,24,95,3.84,95,0.1,6,5.8,0.743,14.4,39543154,4197.419971
"Algeria",2014,"Developing",75.4,11,21,0.01,54.2373183,95,0,58.4,24,95,7.21,95,0.1,6,5.8,0.741,14.4,38760168,5516.229463
"Algeria",2013,"Developing",75.3,112,21,0.53,544.4507432,95,25,57.2,24,95,7.12,95,0.1,5.9,5.8,0.737,14.4,38000626,5519.777576
"Algeria",2012,"Developing",75.1,113,21,0.66,555.9260834,95,18,56.1,24,95,6.14,95,0.1,5.9,5.8,0.732,14.4,37260563,5610.733306
"Algeria",2011,"Developing",74.9,116,21,0.56,509.0020405,95,112,55,24,95,5.29,95,0.1,5.9,5.8,0.724,14,36543541,5473.281801
"Algeria",2010,"Developing",74.7,119,21,0.45,430.7175861,95,103,53.9,24,95,5.12,95,0.1,5.9,5.8,0.714,13.6,35856344,4495.921455
"Algeria",2009,"Developing",74.4,123,20,0.5,352.0636419,94,107,52.8,23,94,5.36,95,0.1,6,5.9,0.705,13.1,35196037,3898.478806
"Algeria",2008,"Developing",74.1,126,20,0.46,43.08717334,91,217,51.8,23,92,4.2,93,0.1,6,5.9,0.697,12.6,34569592,4946.564017
"Algeria",2007,"Developing",73.8,129,20,0.44,320.3239241,9,0,5.8,23,95,3.82,95,0.1,6,5.9,0.69,12.3,33983827,3971.803488
"Algeria",2006,"Developing",73.4,132,20,0.36,270.2401962,8,944,49.8,23,95,3.36,95,0.1,6.1,6,0.686,12.3,33435080,3500.13461
"Algeria",2005,"Developing",72.9,136,19,0.5,2.548922758,83,2302,48.9,22,88,3.24,88,0.1,6.1,6,0.68,12,32956690,3131.328176
"Algeria",2004,"Developing",72.3,14,19,0.45,220.393699,81,3289,47.9,23,86,3.54,86,0.1,6.2,6.1,0.673,11.7,32510186,2624.795232
"Algeria",2003,"Developing",71.7,146,20,0.34,25.0185226,94.5,15374,47,23,87,3.6,87,0.1,6.3,6.1,0.663,11.5,32055883,2117.048229
"Algeria",2002,"Developing",71.6,145,20,0.36,148.5119843,94.5,5862,46.1,23,86,3.73,86,0.1,6.3,6.2,0.653,11.1,31624696,1794.811114
"Algeria",2001,"Developing",71.4,145,20,0.23,147.9860714,94.5,2686,45.3,24,89,3.84,89,0.1,6.4,6.3,0.644,10.9,31200985,1754.582365
"Algeria",2000,"Developing",71.3,145,21,0.25,154.4559436,94.5,0,44.4,25,86,3.49,86,0.1,6.5,6.4,0.636,10.7,30774621,1780.376071
"Angola",2015,"Developing",52.4,335,66,6.35,0,64,118,23.3,98,7,3.84,64,1.9,8.3,8.2,0.531,11.4,28127721,3100.830685
"Angola",2014,"Developing",51.7,348,67,8.33,23.965612,64,11699,22.7,101,68,3.31,64,2,8.5,8.3,0.527,11.4,27128337,5059.080441
"Angola",2013,"Developing",51.1,355,69,8.1,35.95857279,77,8523,22.1,105,67,4.26,77,2.3,8.6,8.5,0.523,11.4,26147002,5101.983876
"Angola",2012,"Developing",56,358,72,8.24,256.1225243,75,4458,21.5,110,75,3.3,75,2.6,8.8,8.6,0.508,10.3,25188292,4962.552072
