Country Name,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aruba,21023.15751,20913.2995,21377.09519,22050.83093,24104.64618,24975.67326,25833.44562,27665.42647,29011.55925,25739.13725,24452.92836,26044.43593,25609.95572,26515.67808,26942.30798,28421.38649
Africa Eastern and Southern,709.0610101,630.198869,630.4790824,816.4376622,989.2208448,1124.220303,1230.194793,1374.086248,1433.258304,1417.130587,1649.639146,1799.623009,1765.250073,1736.222507,1724.534381,1545.559084
Afghanistan,,,183.5327752,200.4623759,221.6576621,255.0551071,274.0006557,375.0782615,387.8492881,443.8451505,554.5947346,621.9124138,663.1410528,651.9878619,628.1468039,592.4761648
Africa Western and Central,522.7727721,535.8979172,621.8625046,700.4433841,843.9898144,1003.436618,1245.822948,1420.840336,1685.37117,1467.241236,1679.646727,1860.943928,1957.519614,2153.766138,2247.857492,1880.750778
Angola,556.8842437,527.4641185,872.657638,982.8055896,1254.696126,1900.723817,2597.963585,3121.348735,4081.717497,3123.698898,3496.784796,4511.153227,4962.552072,5101.983876,5059.080441,3100.830685
Albania,1126.68334,1281.659826,1425.124219,1846.120121,2373.581292,2673.787803,2972.743618,3595.038302,4370.539711,4114.134041,4094.349699,4437.141146,4247.631356,4413.063397,4578.633208,3952.803584
Andorra,21620.46849,22809.08776,24784.96379,31954.15566,37630.76426,39583.93119,43084.29291,50562.86121,53721.41133,49750.69367,48237.89117,51428.19695,44902.38077,44747.75386,45680.53499,38885.53032
Arab World,2857.132721,2735.425402,2693.037779,2915.513683,3392.620162,4069.149413,4701.931138,5327.234547,6528.650292,5585.45611,6406.313817,6864.434184,7365.456849,7348.84955,7302.25035,6283.256026
United Arab Emirates,31855.5006,29909.00943,30221.967,32607.37293,37017.73637,42190.55438,45339.58512,43918.38017,45140.76908,31722.58876,34165.91331,40893.02336,44386.78608,45729.60768,46865.9646,41525.1389
Argentina,7666.517834,7168.975872,2579.488769,3333.152904,4258.160261,5086.627761,5890.978002,7210.595548,8977.506851,8184.389889,10385.96443,12848.74048,13082.66433,13080.25473,12334.79825,13789.06042
Armenia,603.2980252,676.1500113,765.3161777,910.1712617,1166.638204,1608.163409,2109.526385,3064.279961,3908.949057,2917.366245,3143.029482,3462.681774,3643.715404,3833.157071,4017.229913,3666.141825
American Samoa,,,8800.72881,9043.682367,8832.818519,8733.014287,8673.927195,9187.166344,10019.50225,12191.59773,10446.86321,10495.30473,11920.06109,12038.87159,12313.99736,13101.54182
Antigua and Barbuda,11010.19746,10502.93881,10549.66619,10968.89268,11650.84848,12808.01015,14310.68623,16006.13611,16457.10406,14530.59869,13404.51602,13117.14694,13686.47659,13350.14914,14004.81121,14861.88271
Australia,21853.44999,19681.64503,20290.78042,23705.90722,30819.99349,34460.543,36570.76307,41023.75486,49681.21907,42810.46584,52132.46961,62598.68662,68047.37818,68156.3861,62515.31483,56708.9612
Austria,24625.60072,24558.76368,26527.59309,32294.04886,36889.23351,38417.45779,40669.32696,46915.3374,51919.98358,48153.32402,46903.76159,51442.27625,48564.91734,50731.12725,51786.37717,44195.81759
Azerbaijan,655.0974326,703.6712504,763.1087646,883.6925807,1045.014165,1578.36733,2472.957257,3851.331012,5574.470962,4950.397437,5843.533768,7189.815151,7495.861942,7875.344611,7890.83525,5500.50462
Burundi,138.0046172,135.6064758,124.1393016,114.3670072,128.5384225,151.1885411,166.2762452,170.7068764,194.7106346,204.5447557,222.6605831,236.4513474,238.2059453,241.5476657,257.8185575,289.3596271
Belgium,23098.88651,23015.07126,25006.1914,30655.20927,35429.40779,36809.70134,38705.1068,44319.16545,48303.39796,44760.29124,44184.94635,47410.56693,44670.56068,46757.95186,47764.07151,41008.29672
Benin,502.997981,508.3474475,564.3790581,698.4087771,784.1190746,805.9046858,837.1320026,944.6431712,1098.946678,1061.718359,1009.489494,1099.414311,1112.569535,1214.295566,1251.504765,1041.652523
Burkina Faso,249.8020757,260.443473,286.7537151,363.8183519,405.4512762,442.9444309,457.3420749,516.750328,621.8902712,603.8775451,627.2703954,727.6124749,733.9728789,762.3037803,767.3713442,632.1266858
Bangladesh,413.1001853,410.0485409,407.9629676,440.7144048,469.1164584,492.8086489,503.5383322,552.3389345,630.1089792,698.5209416,776.8595769,856.3818868,876.8180068,973.7739002,1108.514957,1236.004398
Bulgaria,1621.262107,1770.906779,2092.982886,2719.494892,3389.687613,3899.825138,4523.147525,5888.776852,7271.305201,6988.274819,6862.757687,7856.985958,7431.014045,7686.629222,7912.52054,7081.102336
Bahrain,12738.77412,12291.83261,12819.99594,14230.29675,15777.96364,17705.23516,19057.7989,20883.54803,23155.82145,19448.18326,21186.81433,23741.55746,25102.72635,25790.73031,25464.7601,22795.44886
Bahamas,24849.60648,25234.14415,26590.14018,26204.8805,26393.41395,28280.87084,28829.84938,29687.86522,29013.63029,27120.69055,27046.65767,26644.92658,28059.6554,27389.60197,28720.66219,29724.95334
Bosnia and Herzegovina,1332.210523,1382.767724,1602.56371,2031.402244,2451.577258,2741.080141,3170.174873,3936.932459,4846.792101,4542.310904,4506.933669,4980.906155,4688.345902,5025.240652,5196.969426,4654.609552
Belarus,1276.288034,1244.373185,1479.383417,1819.525792,2378.339757,3126.071767,3848.216026,4735.484753,6376.183153,5352.489591,6034.678852,6527.654969,6953.217307,7998.077953,8341.288104,5967.069185
